kernel_sizes,num_filters,num_fc_layers,fc_size,accuracy,iteration,class0_accuracy,class1_accuracy,class2_accuracy,class3_accuracy,class4_accuracy,class5_accuracy,class6_accuracy,class7_accuracy,class8_accuracy,class9_accuracy
"[3, 3, 3]",32,3,64,57.65222222222222,4,74.39716312056737,65.39007092198581,45.214285714285715,40.99290780141844,44.31818181818182,47.146932952924395,66.38297872340425,67.21428571428571,59.9290780141844,63.54609929078014
"[3, 3, 3]",32,2,128,57.52777777777778,0,64.8936170212766,67.30496453900709,40.357142857142854,45.88652482269504,57.95454545454545,29.243937232524964,77.44680851063829,65.78571428571429,63.97163120567376,66.17021276595744
"[3, 3, 3]",32,2,128,58.19777777777778,1,68.29787234042553,65.60283687943263,39.142857142857146,48.08510638297872,49.64488636363637,36.80456490727532,75.2482269503546,66.5,72.48226950354609,61.48936170212766
"[3, 3, 3]",32,2,128,58.76444444444444,2,67.58865248226951,67.44680851063829,51.0,43.90070921985816,52.41477272727273,35.592011412268185,75.2482269503546,62.92857142857143,70.49645390070921,63.687943262411345
"[3, 3, 3]",32,2,128,58.18555555555555,3,64.39716312056737,66.52482269503547,50.92857142857143,48.08510638297872,55.32670454545455,31.169757489301,77.51773049645391,62.285714285714285,72.48226950354609,56.38297872340426
"[3, 3, 3]",32,2,128,58.08555555555556,4,69.57446808510639,70.35460992907801,50.142857142857146,42.97872340425532,60.08522727272727,36.59058487874465,72.55319148936171,59.214285714285715,60.212765957446805,56.95035460992908
"[3, 3, 3]",32,2,64,57.535555555555554,0,69.43262411347517,62.269503546099294,49.92857142857143,41.276595744680854,48.93465909090909,32.73894436519258,66.52482269503547,67.07142857142857,71.06382978723404,67.80141843971631
"[3, 3, 3]",32,2,64,57.57,1,60.709219858156025,60.141843971631204,53.5,43.12056737588652,47.44318181818182,31.312410841654778,75.74468085106383,63.714285714285715,73.19148936170212,66.95035460992908
"[3, 3, 3]",32,2,64,58.242222222222225,2,63.333333333333336,71.06382978723404,51.857142857142854,45.319148936170215,46.80397727272727,39.51497860199715,75.39007092198581,64.42857142857143,71.13475177304964,55.60283687943262
"[3, 3, 3]",32,2,64,56.97555555555556,3,62.6241134751773,58.36879432624114,50.92857142857143,49.858156028368796,41.26420454545455,39.871611982881596,64.9645390070922,61.92857142857143,70.70921985815603,70.92198581560284
